Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,VJ255,VJ256,VJ267,VJ268,VJ263,VJ264,VJ269,VJ270,VJ271,VJ272,VJ273,VJ274,VJ275,VJ276,VJ277,VJ278,VJ279,VJ280,VJ281,VJ282,VJ283,VJ284,VJ285,VJ318,VJ286,VJ287,VJ288,VJ289,VJ321,VJ319,VJ323,VJ324,VJ325,VJ326,VJ327,VJ328,VJ337,VJ338,VJ257,VJ258,VJ259,VJ260,VJ261,VJ262,VJ265,VJ266,VJ290,VJ291,VJ292,VJ293,VJ294,VJ295,VJ296,VJ297,VJ298,VJ299,VJ300,VJ301,VJ302,VJ303,VJ304,VJ305,VJ306,VJ322,VJ320,VJ329,VJ330,VJ331,VJ332,VJ339,VJ341,VJ307,VJ308,VJ309,VJ310,VJ311,VJ312,VJ313,VJ314,VJ315,VJ316,VJ317,VJ333,VJ334,VJ335,VJ336,VJ340,VJ342,VJ343,VJ354,VJ355,VJ356,VJ360,VJ361,VJ362,VJ363,VJ364,VJ365,VJ366,VJ367,VJ368,VJ369,VJ370,VJ371,VJ372,VJ373,VJ374,VJ375,VJ376,VJ402,VJ377,VJ378,VJ379,VJ380,VJ381,VJ382,VJ350,VJ351,VJ352,VJ404,VJ405,VJ353,VJ357,VJ358,VJ359,VJ344,VJ383,VJ384,VJ385,VJ386,VJ387,VJ388,VJ389,VJ390,VJ391,VJ392,VJ393,VJ394,VJ395,VJ396,VJ397,VJ398,VJ399,VJ400,VJ401,VJ403,VJ345,VJ346,VJ347,VJ348,VJ349,VJ406,VJ407,VJ408,VJ409,VJ410,VJ411,VJ412,VJ413,VJ414,VJ415,VJ416,VJ417,VJ418,VJ419,VJ420,VJ421,VJ422,VJ465,VJ471,VJ472,VJ467,VJ468,VJ473,VJ442,VJ443,VJ444,VJ445,VJ446,VJ447,VJ448,VJ449,VJ450,VJ451,VJ452,VJ453,VJ454,VJ466,VJ455,VJ469,VJ474,VJ470,VJ475,VJ476,VJ477,VJ478,VJ482,VJ483,VJ484,VJ485,VJ486,VJ492,VJ423,VJ424,VJ425,VJ426,VJ427,VJ428,VJ429,VJ430,VJ431,VJ432,VJ433,VJ434,VJ435,VJ436,VJ437,VJ438,VJ439,VJ440,VJ441,VJ480,VJ479,VJ487,VJ488,VJ489,VJ490,VJ491,VJ456,VJ457,VJ458,VJ459,VJ460,VJ461,VJ462,VJ463,VJ464,VJ481
Line,->,->,->,->,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3A,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3B,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C,3C
RouteID,->,->,->,->,RT26,RT26,RT27,RT27,RT27,RT27,RT27,RT27,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT29,RT28,RT30,RT30,RT30,RT30,RT30,RT30,RT31,RT31,RT26,RT26,RT27,RT27,RT27,RT27,RT27,RT27,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT29,RT28,RT30,RT30,RT30,RT30,RT31,RT32,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT28,RT30,RT30,RT30,RT30,RT31,RT33,RT33,RT34,RT34,RT34,RT34,RT34,RT34,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT34,RT34,RT34,RT36,RT36,RT34,RT34,RT34,RT34,RT33,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT35,RT34,RT34,RT34,RT34,RT34,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT37,RT38,RT39,RT40,RT40,RT40,RT40,RT40,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT40,RT40,RT40,RT40,RT41,RT41,RT42,RT43,RT43,RT43,RT43,RT43,RT44,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT42,RT42,RT43,RT43,RT43,RT43,RT43,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT39,RT42
Journey Code,->,->,->,->,110445,110515,110540,110610,110635,110705,110740,110810,110845,110845,110915,110945,111015,111045,111115,111145,111215,111245,111245,111315,111345,111415,111415,111445,111515,111545,111615,111645,111715,111750,111906,111906,112006,112006,112106,112206,112306,112306,610450,610520,610545,610615,610645,610715,610745,610815,610845,610915,610945,611015,611045,611115,611145,611215,611245,611315,611345,611415,611445,611515,611545,611615,611645,611715,611750,611906,612006,612106,612206,612306,710637,710757,710857,710957,711057,711157,711257,711357,711457,711557,711702,711802,711906,712006,712106,712206,712306,110517,110517,110533,0603,110633,110658,110728,110758,110825,110855,110925,110955,111025,111055,111125,111155,111155,111225,111255,111325,111355,111425,111455,111525,111555,111555,111625,111655,111655,111808,111903,112003,112100,112200,112303,610630,610700,610730,610807,610755,610825,610855,610925,610955,611025,611055,611125,611155,611225,611255,611325,611355,611425,611455,611525,611555,611625,611655,611745,611903,612003,612103,612203,612303,710808,710908,711008,711108,711208,711308,711408,711508,711608,711708,711803,711903,712003,712103,712203,712303,110525,110530,110555,110620,110645,110715,110750,110835,110835,110905,110935,111005,111035,111105,111135,111205,111235,111305,111335,111405,111435,111505,111528,111558,111628,111705,111735,111735,111805,111830,111930,112030,112130,112230,610757,610805,610835,610905,610935,611005,611035,611105,611135,611205,611235,611305,611335,611405,611435,611505,611535,611605,611635,611705,611735,611805,611830,611930,612030,612130,612230,710827,710927,711027,711127,711227,711327,711427,711527,711627,711727
Journey Pattern ,->,->,->,->,JP67,JP67,JP72,JP73,JP70,JP70,JP74,JP75,JP76,JP76,JP76,JP76,JP76,JP76,JP76,JP76,JP76,JP76,JP76,JP76,JP76,JP76,JP76,JP79,JP76,JP76,JP76,JP76,JP82,JP80,JP84,JP84,JP84,JP84,JP84,JP84,JP87,JP87,JP68,JP68,JP69,JP69,JP69,JP69,JP71,JP71,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP77,JP83,JP81,JP85,JP85,JP85,JP85,JP88,JP90,JP78,JP78,JP78,JP78,JP78,JP78,JP78,JP78,JP78,JP78,JP78,JP86,JP86,JP86,JP86,JP89,JP91,JP91,JP95,JP95,JP95,JP97,JP97,JP98,JP99,JP99,JP99,JP99,JP99,JP99,JP99,JP99,JP99,JP99,JP99,JP99,JP99,JP99,JP101,JP99,JP99,JP99,JP99,JP99,JP99,JP94,JP94,JP94,JP103,JP103,JP94,JP96,JP96,JP96,JP92,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP100,JP102,JP93,JP93,JP93,JP93,JP93,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP104,JP105,JP109,JP113,JP114,JP111,JP111,JP115,JP107,JP107,JP107,JP107,JP107,JP107,JP107,JP107,JP107,JP107,JP107,JP107,JP107,JP110,JP107,JP112,JP116,JP112,JP117,JP118,JP118,JP119,JP122,JP122,JP122,JP122,JP122,JP123,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP106,JP120,JP119,JP122,JP122,JP122,JP122,JP122,JP108,JP108,JP108,JP108,JP108,JP108,JP108,JP108,JP108,JP121
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,"Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,",Friday,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday,Sunday
1,3300MA0700,-,-,Bus Station,04:45,05:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,04:50,05:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06:37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,3300AS0138,-,-,Bus Station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,08:08,09:08,10:08,11:08,12:08,13:08,14:08,15:08,16:08,17:08,18:03,19:03,20:03,21:03,22:03,23:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,3300MA0708,-,-,Bus Station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,15:55,16:25,16:55,16:55,-,-,-,-,-,-,-,-,-,-,07:55,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,05:30,05:55,06:20,06:45,07:15,07:50,08:35,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:28,15:58,16:28,17:05,17:35,17:35,18:05,18:30,19:30,20:30,21:30,22:30,-,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:30,19:30,20:30,21:30,22:30,08:27,09:27,10:27,11:27,12:27,13:27,14:27,15:27,16:27,17:27
2,3300MA0708,-,-,Bus Station,-,-,05:40,06:10,06:35,07:05,07:40,08:10,08:45,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,12:45,13:15,13:45,14:15,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:50,19:06,19:06,20:06,20:06,21:06,22:06,23:06,23:06,-,-,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:50,19:06,20:06,21:06,22:06,23:06,-,07:57,08:57,09:57,10:57,11:57,12:57,13:57,14:57,15:57,17:02,18:02,19:06,20:06,21:06,22:06,23:06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,3300AS0188,-,-,Lammas Road,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,08:08,09:08,10:08,11:08,12:08,13:08,14:08,15:08,16:08,17:08,18:03,19:03,20:03,21:03,22:03,23:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
