Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,VJ34,VJ32,VJ33,VJ35,VJ36,VJ37,VJ38,VJ39,VJ40,VJ41,VJ29,VJ49,VJ50,VJ53,VJ54,VJ30,VJ42,VJ43,VJ44,VJ45,VJ46,VJ47,VJ48,VJ31,VJ51,VJ52,VJ55,VJ56
Line,->,->,->,->,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1
RouteID,->,->,->,->,RT4,RT4,RT4,RT5,RT5,RT5,RT5,RT5,RT5,RT5,RT4,RT6,RT6,RT6,RT6,RT4,RT5,RT5,RT5,RT5,RT5,RT5,RT5,RT4,RT6,RT6,RT6,RT6
Journey Code,->,->,->,->,110617,110707,110742,110913,111013,111113,111213,111313,111413,111513,111600,111703,111753,111833,111915,610758,610913,611013,611113,611213,611313,611413,611513,611600,611703,611753,611833,611915
Journey Pattern ,->,->,->,->,JP7,JP6,JP6,JP8,JP8,JP8,JP8,JP8,JP8,JP8,JP5,JP9,JP9,JP10,JP10,JP5,JP8,JP8,JP8,JP8,JP8,JP8,JP8,JP5,JP9,JP9,JP10,JP10
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday
1,3300RU0313,-,-,Market Place,-,-,-,09:13,10:13,11:13,12:13,13:13,14:13,15:13,-,-,-,-,-,-,09:13,10:13,11:13,12:13,13:13,14:13,15:13,-,-,-,-,-
2,3300RU0533,-,-,White Lion,-,-,-,09:13,10:13,11:13,12:13,13:13,14:13,15:13,-,-,-,-,-,-,09:13,10:13,11:13,12:13,13:13,14:13,15:13,-,-,-,-,-
3,3300RU0547,-,-,Harvest Close,-,-,-,09:14,10:14,11:14,12:14,13:14,14:14,15:14,-,-,-,-,-,-,09:14,10:14,11:14,12:14,13:14,14:14,15:14,-,-,-,-,-
4,3300RU0549,-,-,Meadowsweet Hill,-,-,-,09:15,10:15,11:15,12:15,13:15,14:15,15:15,-,-,-,-,-,-,09:15,10:15,11:15,12:15,13:15,14:15,15:15,-,-,-,-,-
5,3300RU0521,-,-,Nottingham Road,-,-,-,09:15,10:15,11:15,12:15,13:15,14:15,15:15,-,-,-,-,-,-,09:15,10:15,11:15,12:15,13:15,14:15,15:15,-,-,-,-,-
6,3300RU0177,-,-,Fosse Road Farm,-,-,-,09:18,10:18,11:18,12:18,13:18,14:18,15:18,-,-,-,-,-,-,09:18,10:18,11:18,12:18,13:18,14:18,15:18,-,-,-,-,-
7,3300RU0361,-,-,Fairway Crescent,06:17,07:07,07:42,09:22,10:22,11:22,12:22,13:22,14:22,15:22,16:00,17:03,17:53,18:33,19:15,07:58,09:22,10:22,11:22,12:22,13:22,14:22,15:22,16:00,17:03,17:53,18:33,19:15
8,3300RU0226,-,-,Wellington Avenue,06:17,07:07,07:42,09:22,10:22,11:22,12:22,13:22,14:22,15:22,16:00,17:03,17:53,18:33,19:15,07:58,09:22,10:22,11:22,12:22,13:22,14:22,15:22,16:00,17:03,17:53,18:33,19:15
9,3300RU0901,-,-,Springdale Lane,06:20,07:10,07:45,09:25,10:25,11:25,12:25,13:25,14:25,15:25,16:03,-,-,-,-,08:01,09:25,10:25,11:25,12:25,13:25,14:25,15:25,16:03,-,-,-,-
10,3300RU0614,-,-,Ludgate Drive,06:22,07:12,07:47,09:27,10:27,11:27,12:27,13:27,14:27,15:27,16:05,-,-,-,-,08:03,09:27,10:27,11:27,12:27,13:27,14:27,15:27,16:05,-,-,-,-
11,3300RU0048,-,-,Brickyard Lane,06:22,07:12,07:47,09:27,10:27,11:27,12:27,13:27,14:27,15:27,16:05,-,-,-,-,08:03,09:27,10:27,11:27,12:27,13:27,14:27,15:27,16:05,-,-,-,-
12,3300RU0692,-,-,Methodist Church,06:23,07:13,07:48,09:28,10:28,11:28,12:28,13:28,14:28,15:28,16:06,-,-,-,-,08:04,09:28,10:28,11:28,12:28,13:28,14:28,15:28,16:06,-,-,-,-
13,3300RU0051,-,-,Mill Gate,06:23,07:13,07:48,09:28,10:28,11:28,12:28,13:28,14:28,15:28,16:06,-,-,-,-,08:04,09:28,10:28,11:28,12:28,13:28,14:28,15:28,16:06,-,-,-,-
15,3300NS0481,-,-,Unicorn Hotel,06:28,07:18,07:53,09:33,10:33,11:33,12:33,13:33,14:33,15:33,16:11,-,-,-,-,08:09,09:33,10:33,11:33,12:33,13:33,14:33,15:33,16:11,-,-,-,-
16,3300NS0483,-,-,Davids Lane,06:28,07:18,07:53,09:33,10:33,11:33,12:33,13:33,14:33,15:33,16:11,-,-,-,-,08:09,09:33,10:33,11:33,12:33,13:33,14:33,15:33,16:11,-,-,-,-
17,3300NS0746,-,-,Hobsons Acre,06:29,07:19,07:54,09:34,10:34,11:34,12:34,13:34,14:34,15:34,16:12,-,-,-,-,08:10,09:34,10:34,11:34,12:34,13:34,14:34,15:34,16:12,-,-,-,-
18,3300NS0747,-,-,Old Hall,06:29,07:19,07:54,09:34,10:34,11:34,12:34,13:34,14:34,15:34,16:12,-,-,-,-,08:10,09:34,10:34,11:34,12:34,13:34,14:34,15:34,16:12,-,-,-,-
20,3300RU0812,-,-,Church Street,06:35,07:25,08:00,09:40,10:40,11:40,12:40,13:40,14:40,15:40,16:18,-,-,-,-,08:16,09:40,10:40,11:40,12:40,13:40,14:40,15:40,16:18,-,-,-,-
21,3300RU0066,-,-,Burden Lane,06:35,07:25,08:00,09:40,10:40,11:40,12:40,13:40,14:40,15:40,16:18,-,-,-,-,08:16,09:40,10:40,11:40,12:40,13:40,14:40,15:40,16:18,-,-,-,-
22,3300RU0065,-,-,Main Road,06:36,07:26,08:01,09:41,10:41,11:41,12:41,13:41,14:41,15:41,16:19,-,-,-,-,08:17,09:41,10:41,11:41,12:41,13:41,14:41,15:41,16:19,-,-,-,-
23,3300RU0072,-,-,East Bridgford Road,-,-,-,-,-,-,-,-,-,-,-,17:04,17:54,18:34,19:16,-,-,-,-,-,-,-,-,-,17:04,17:54,18:34,19:16
24,3300RU0778,-,-,Shelford Hill,06:37,07:27,08:02,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:20,17:08,17:58,18:38,19:20,08:18,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:20,17:08,17:58,18:38,19:20
25,3300RU0936,-,-,Shelford Road,06:37,07:27,08:02,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:20,17:08,17:58,18:40,19:22,08:18,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:20,17:08,17:58,18:40,19:22
26,3300RU0086,-,-,Valley Road,06:37,07:27,08:02,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:20,17:08,17:58,18:41,19:23,08:18,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:20,17:08,17:58,18:41,19:23
27,3300RU0630,-,-,Welbeck Road,06:37,07:27,08:02,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:20,17:08,17:58,18:41,19:23,08:18,09:42,10:42,11:42,12:42,13:42,14:42,15:42,16:20,17:08,17:58,18:41,19:23
28,3300RU0631,-,-,Haddon Way,06:38,07:28,08:03,09:43,10:43,11:43,12:43,13:43,14:43,15:43,16:21,17:09,17:59,18:42,19:24,08:19,09:43,10:43,11:43,12:43,13:43,14:43,15:43,16:21,17:09,17:59,18:42,19:24
29,3300RU0632,-,-,Thoresby Close,06:39,07:29,08:04,09:44,10:44,11:44,12:44,13:44,14:44,15:44,16:22,17:10,18:00,18:43,19:25,08:20,09:44,10:44,11:44,12:44,13:44,14:44,15:44,16:22,17:10,18:00,18:43,19:25
30,3300RU0633,-,-,Newton Avenue,06:40,07:30,08:05,09:45,10:45,11:45,12:45,13:45,14:45,15:45,16:23,17:11,18:01,18:44,19:26,08:21,09:45,10:45,11:45,12:45,13:45,14:45,15:45,16:23,17:11,18:01,18:44,19:26
31,3300RU0634,-,-,Malkin Avenue,06:41,07:31,08:06,09:46,10:46,11:46,12:46,13:46,14:46,15:46,16:24,17:12,18:02,18:44,19:26,08:22,09:46,10:46,11:46,12:46,13:46,14:46,15:46,16:24,17:12,18:02,18:44,19:26
