Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Line,->,->,->,->,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
RouteID,->,->,->,->,5,5,5,5,6,6,7,7,7,7,7,7,8,8,9,9,8,8,9,9,6,6
Journey Code,->,->,->,->,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journey Pattern ,->,->,->,->,5,5,5,5,6,6,7,7,7,7,7,7,8,8,9,9,8,8,9,9,6,6
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday
0,3300GE0251,-,-,Coronation Road,06:57,06:57,07:57,07:57,08:57,08:57,10:57,10:57,12:57,12:57,14:57,14:57,15:57,15:57,-,-,16:57,16:57,-,-,18:02,18:02
1,3300GE0108,-,-,Park Road,06:58,06:58,07:58,07:58,08:58,08:58,10:58,10:58,12:58,12:58,14:58,14:58,15:58,15:58,-,-,16:58,16:58,-,-,18:03,18:03
2,3300GE0298,-,-,Church Road,06:58,06:58,07:58,07:58,08:58,08:58,10:58,10:58,12:58,12:58,14:58,14:58,15:58,15:58,-,-,16:58,16:58,-,-,18:03,18:03
3,3300GE0737,-,-,The Square,06:59,06:59,07:59,07:59,08:59,08:59,10:59,10:59,12:59,12:59,14:59,14:59,15:59,15:59,-,-,16:59,16:59,-,-,18:04,18:04
4,3300GE0109,-,-,Country Park,07:00,07:00,08:00,08:00,09:00,09:00,11:00,11:00,13:00,13:00,15:00,15:00,16:00,16:00,-,-,17:00,17:00,-,-,18:05,18:05
5,3300GE0294,-,-,The Square,07:00,07:00,08:00,08:00,09:00,09:00,11:00,11:00,13:00,13:00,15:00,15:00,16:00,16:00,-,-,17:00,17:00,-,-,18:05,18:05
6,3300GE0306,-,-,Church Road,07:01,07:01,08:01,08:01,09:00,09:00,11:00,11:00,13:00,13:00,15:00,15:00,16:00,16:00,-,-,17:00,17:00,-,-,18:05,18:05
7,3300GE0311,-,-,Old Mill Close,07:02,07:02,08:02,08:02,09:01,09:01,11:01,11:01,13:01,13:01,15:01,15:01,16:01,16:01,-,-,17:01,17:01,-,-,18:06,18:06
8,3390BV24,-,-,Moorbridge Cottage,07:04,07:04,08:04,08:04,09:03,09:03,11:03,11:03,13:03,13:03,15:03,15:03,16:03,16:03,-,-,17:03,17:03,-,-,18:08,18:08
9,3390BV25,-,-,Moorbridge Ponds,07:04,07:04,08:04,08:04,09:03,09:03,11:03,11:03,13:03,13:03,15:03,15:03,16:03,16:03,-,-,17:03,17:03,-,-,18:08,18:08
10,3390BU29,-,-,Lawton Drive,07:05,07:05,08:05,08:05,09:04,09:04,11:04,11:04,13:04,13:04,15:04,15:04,16:04,16:04,-,-,17:04,17:04,-,-,18:09,18:09
11,3390BU30,-,-,The Apollo,07:06,07:06,08:06,08:06,09:04,09:04,11:04,11:04,13:04,13:04,15:04,15:04,16:04,16:04,-,-,17:04,17:04,-,-,18:09,18:09
12,3390BU83,-,-,Morrisons Car Park,-,-,-,-,09:05,09:05,11:05,11:05,13:05,13:05,15:05,15:05,16:05,16:05,-,-,17:05,17:05,-,-,18:10,18:10
13,3390BU31,-,-,Morrisons,07:06,07:06,08:06,08:06,09:05,09:05,11:05,11:05,13:05,13:05,15:05,15:05,16:05,16:05,-,-,17:05,17:05,-,-,18:10,18:10
14,3390BU33,-,-,Squires Avenue,07:07,07:07,08:07,08:07,09:06,09:06,11:06,11:06,13:06,13:06,15:06,15:06,16:06,16:06,-,-,17:06,17:06,-,-,18:11,18:11
15,3390BU34,-,-,Merchant Street,07:08,07:08,08:08,08:08,09:08,09:08,11:08,11:08,13:08,13:08,15:08,15:08,16:08,16:08,-,-,17:08,17:08,-,-,18:13,18:13
