Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Line,->,->,->,->,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
RouteID,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Journey Code,->,->,->,->,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journey Pattern ,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday
0,3300RU0638,-,-,Sutton Lane,06:23,06:23,07:12,07:12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:28,18:28
1,3300RU0859,-,-,Old Forge Lane,06:25,06:25,07:14,07:14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:30,18:30
2,3300RU0063,-,-,Main Road,06:27,06:27,07:16,07:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:32,18:32
3,3300RU0064,-,-,Works Lane,06:28,06:28,07:17,07:17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:33,18:33
4,3300RU0906,-,-,Main Road,06:28,06:28,07:17,07:17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:33,18:33
5,3300RU0247,-,-,Butlers Field,06:31,06:31,07:20,07:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:36,18:36
6,3300RU0074,-,-,Earl Howe Crescent,06:32,06:32,07:21,07:21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:37,18:37
7,3300RU0898,-,-,Tythby Lane,06:35,06:35,07:24,07:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:40,18:40
8,3300RU0895,-,-,Surgery,06:37,06:37,07:26,07:26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:42,18:42
9,3300RU0333,-,-,Nottingham Road,06:37,06:37,07:26,07:26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:42,18:42
10,3300RU0595,-,-,New Road,-,-,-,-,08:33,08:33,09:23,09:23,10:33,10:33,11:43,11:43,12:53,12:53,14:03,14:03,15:13,15:13,16:33,16:33,17:33,17:33,-,-
11,3300RU0591,-,-,Woodside Road,-,-,-,-,08:36,08:36,09:26,09:26,10:36,10:36,11:46,11:46,12:56,12:56,14:06,14:06,15:16,15:16,16:36,16:36,17:36,17:36,-,-
12,3300RU0593,-,-,Northfield Avenue,-,-,-,-,08:36,08:36,09:26,09:26,10:36,10:36,11:46,11:46,12:56,12:56,14:06,14:06,15:16,15:16,16:36,16:36,17:36,17:36,-,-
13,3300RU0474,-,-,Grantham Road,-,-,-,-,08:37,08:37,09:27,09:27,10:37,10:37,11:47,11:47,12:57,12:57,14:07,14:07,15:17,15:17,16:37,16:37,17:37,17:37,-,-
14,3300RU0615,-,-,Grantham Road,-,-,-,-,08:37,08:37,09:27,09:27,10:37,10:37,11:47,11:47,12:57,12:57,14:07,14:07,15:17,15:17,16:37,16:37,17:37,17:37,-,-
15,3300RU0696,-,-,Saxondale Drive,-,-,-,-,08:38,08:38,09:28,09:28,10:38,10:38,11:48,11:48,12:58,12:58,14:08,14:08,15:18,15:18,16:38,16:38,17:38,17:38,-,-
16,3300RU0102,-,-,Turning Circle,-,-,-,-,08:39,08:39,09:29,09:29,10:39,10:39,11:49,11:49,12:59,12:59,14:09,14:09,15:19,15:19,16:39,16:39,17:39,17:39,-,-
17,3300RU0795,-,-,The Green,-,-,-,-,08:43,08:43,09:33,09:33,10:43,10:43,11:53,11:53,13:03,13:03,14:13,14:13,15:23,15:23,16:43,16:43,17:43,17:43,-,-
18,3300RU0792,-,-,Main Street,-,-,-,-,08:43,08:43,09:33,09:33,10:43,10:43,11:53,11:53,13:03,13:03,14:13,14:13,15:23,15:23,16:43,16:43,17:43,17:43,-,-
19,3300RU0793,-,-,Tithby Road,-,-,-,-,08:44,08:44,09:34,09:34,10:44,10:44,11:54,11:54,13:04,13:04,14:14,14:14,15:24,15:24,16:44,16:44,17:44,17:44,-,-
20,3300RU0733,-,-,Etheldene,-,-,-,-,08:47,08:47,09:37,09:37,10:47,10:47,11:57,11:57,13:07,13:07,14:17,14:17,15:27,15:27,16:47,16:47,17:47,17:47,-,-
21,3300RU0626,-,-,Hoe View Road End,-,-,-,-,08:47,08:47,09:37,09:37,10:47,10:47,11:57,11:57,13:07,13:07,14:17,14:17,15:27,15:27,16:47,16:47,17:47,17:47,-,-
22,3300RU0625,-,-,Hoe View Road,-,-,-,-,08:48,08:48,09:38,09:38,10:48,10:48,11:58,11:58,13:08,13:08,14:18,14:18,15:28,15:28,16:48,16:48,17:48,17:48,-,-
23,3300RU0624,-,-,Parkin Close,-,-,-,-,08:48,08:48,09:38,09:38,10:48,10:48,11:58,11:58,13:08,13:08,14:18,14:18,15:28,15:28,16:48,16:48,17:48,17:48,-,-
24,3300RU0623,-,-,Brownhill Close,-,-,-,-,08:48,08:48,09:38,09:38,10:48,10:48,11:58,11:58,13:08,13:08,14:18,14:18,15:28,15:28,16:48,16:48,17:48,17:48,-,-
