Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,VJ35,VJ36,VJ68,VJ37,VJ38,VJ39,VJ40,VJ41,VJ42,VJ43,VJ44,VJ45,VJ57,VJ58,VJ59,VJ46,VJ47,VJ48,VJ49,VJ50,VJ51,VJ52,VJ53,VJ54,VJ55,VJ56,VJ60,VJ61,VJ62,VJ63,VJ64,VJ65,VJ66,VJ67
Line,->,->,->,->,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
RouteID,->,->,->,->,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2,RT2
Journey Code,->,->,->,->,110645,110800,110825,111000,111100,111200,111300,111400,111500,111600,111700,111800,112000,112200,112320,610800,610830,611000,611100,611200,611300,611400,611500,611600,611700,611800,612000,612200,612320,711000,711200,711400,711600,711800
Journey Pattern ,->,->,->,->,JP6,JP6,JP8,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP7,JP7,JP7,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP6,JP7,JP7,JP7,JP7,JP7,JP7,JP7,JP7
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,","Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Saturday,Sunday,Sunday,Sunday,Sunday,Sunday
1,3390BB04,-,-,Broad Marsh Bus Station,06:45,08:00,08:25,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,20:00,22:00,23:20,08:00,08:30,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,20:00,22:00,23:20,10:00,12:00,14:00,16:00,18:00
2,3390S3,-,-,Nottingham Railway Station,06:46,08:01,08:26,10:01,11:01,12:01,13:01,14:01,15:01,16:01,17:01,18:01,20:00,22:00,23:20,08:01,08:31,10:01,11:01,12:01,13:01,14:01,15:01,16:01,17:01,18:01,20:00,22:00,23:20,10:00,12:00,14:00,16:00,18:00
3,3390ME01,-,-,Arkwright Street,06:46,08:01,08:26,10:01,11:01,12:01,13:01,14:01,15:01,16:01,17:01,18:01,20:01,22:01,23:21,08:01,08:31,10:01,11:01,12:01,13:01,14:01,15:01,16:01,17:01,18:01,20:01,22:01,23:21,10:01,12:01,14:01,16:01,18:01
4,3390ME02,-,-,Lammas Gardens,06:47,08:02,08:27,10:02,11:02,12:02,13:02,14:02,15:02,16:02,17:02,18:02,20:02,22:02,23:22,08:02,08:32,10:02,11:02,12:02,13:02,14:02,15:02,16:02,17:02,18:02,20:02,22:02,23:22,10:02,12:02,14:02,16:02,18:02
5,3390ME03,-,-,Eugene Gardens,06:48,08:03,08:28,10:03,11:03,12:03,13:03,14:03,15:03,16:03,17:03,18:03,20:03,22:03,23:23,08:03,08:33,10:03,11:03,12:03,13:03,14:03,15:03,16:03,17:03,18:03,20:03,22:03,23:23,10:03,12:03,14:03,16:03,18:03
